SegmentIndex,StraightLineDistance,ExecutedPathLength,HeadingProxyDeg,IntegratedAbsYawDeg,DistanceRatio,YawRatio
S1,9.844,9.8612,0.0,406.06,1.0017472572125152,
S10,4.0,4.0009999999999994,21.8,0.74,1.0002499999999999,0.03394495412844037
S2,4.7,4.5649999999999995,92.92,121.4,0.9712765957446807,1.3065002152389151
S3,2.417,2.3731999999999998,155.6,330.65999999999997,0.9818783616052958,2.125064267352185
S4,5.852,6.0952,85.5,271.28000000000003,1.0415584415584416,3.1728654970760237
S5,2.5,2.503,20.0,1.98,1.0012,0.099
S6,9.849,11.2108,156.0,378.3,1.1382678444512133,2.4250000000000003
S7,4.0,3.906,114.0,200.28,0.9765,1.756842105263158
S8,2.236,2.5294,153.4,191.92000000000002,1.1312164579606439,1.2511082138200782
S9,5.385,6.6828,41.6,287.36,1.2410027855153205,6.907692307692308
