SegmentIndex,StraightLineDistance,HeadingProxyDeg,TimeTranslating,TimeRotating,TimeConverging,TimeReplanning,ModelTranslation,ModelRotation,ModelFixedOverhead,MeasuredOverhead
S1,9.844,0.0,38.047000000000004,2.5260000000000002,3.8876,0.0,47.625624519251375,0.0,-1.3929928926927504,3.8876
S10,4.0,21.8,13.767199999999999,0.0,3.7738,0.0,19.35214324228012,0.8558877864711802,-1.3929928926927504,3.7738
S2,4.7,92.92,17.0678,1.6952000000000003,3.9885999999999995,0.0,22.738768309679145,3.648123537564315,-1.3929928926927504,3.9885999999999995
S3,2.417,155.6,7.8194,3.0126,4.8424,0.0,11.693532554147762,6.108997228207139,-1.3929928926927504,4.8424
S4,5.852,85.5,23.304,4.550199999999999,3.7009999999999996,0.0,28.31218556345582,3.3568076029030234,-1.3929928926927504,3.7009999999999996
S5,2.5,20.0,7.177,0.0,4.025,0.0,12.095089526425076,0.7852181527258534,-1.3929928926927504,4.025
S6,9.849,156.0,44.839600000000004,3.4994,4.4422,0.0,47.649814698304226,6.1247015912616565,-1.3929928926927504,4.4422
S7,4.0,114.0,13.562999999999999,3.8572,3.9905999999999997,0.0,19.35214324228012,4.475743470537364,-1.3929928926927504,3.9905999999999997
S8,2.236,153.4,8.1256,3.2198,4.6928,0.0,10.81784807243459,6.022623231407295,-1.3929928926927504,4.6928
S9,5.385,41.6,25.8188,0.9506,3.9269999999999996,0.6599999999999999,26.052822839919614,1.633253757669775,-1.3929928926927504,4.587
