SegmentIndex,StraightLineDistance,ExecutedPathLength,HeadingProxyDeg,IntegratedAbsYawDeg,DistanceRatio,YawRatio
S1,9.826833333333333,9.87175,0.0,355.05,1.004570817998338,
S10,4.0,3.9844166666666667,21.8,0.9500000000000001,0.9961041666666667,0.04357798165137615
S2,4.7,4.574833333333333,92.91666666666667,119.075,0.9733687943262411,1.28152466367713
S3,2.417,2.3840833333333333,155.6,305.2083333333333,0.9863811888015447,1.9614931448157669
S4,5.852,6.022416666666667,85.5,237.21666666666667,1.0291210982000456,2.7744639376218325
S5,2.5,2.4803333333333333,20.0,2.0,0.9921333333333333,0.1
S6,9.849,11.229166666666666,156.0,372.77500000000003,1.1401326699834162,2.3895833333333334
S7,4.0,3.8280833333333333,114.0,196.75833333333333,0.9570208333333333,1.7259502923976608
S8,2.236,2.4581666666666666,153.4,256.19166666666666,1.0993589743589742,1.670089091699261
S9,5.385000000000001,6.6645,41.6,355.05833333333334,1.2376044568245124,8.53505608974359
