SegmentIndex,n,StraightLineDistance,PlannedPathLengthM,ExecutedPathLength_mean,ExecutedPathLength_sd,HeadingProxyDeg,IntegratedAbsYawDeg_mean,IntegratedAbsYawDeg_sd,MinClearanceRadius,TotalSegmentTime_mean,TotalSegmentTime_sd,TimeRotating_mean,TimeTranslating_mean,TimeConverging_mean,TimeReplanning_mean
S1,12,9.826833333333333,9.236666666666666,9.87175,0.1680520076426564,0.0,355.05,172.5029828464108,0.0,44.34708333333333,3.4342138033281637,2.769166666666667,37.65325,3.924666666666667,0.0
S2,12,4.7,4.513333333333334,4.574833333333333,0.06427615609558675,92.91666666666667,119.075,7.608980937621731,3.0,21.69441666666667,1.909579509084435,1.6245,16.199166666666667,3.8707499999999997,0.0
S3,12,2.417,2.1366666666666663,2.3840833333333333,0.17267334285677488,155.6,305.2083333333333,232.06652438993487,1.25,15.57875,1.4893824910161444,3.1815833333333337,7.537833333333334,4.859333333333333,0.0
S4,12,5.852,5.721666666666667,6.022416666666667,0.4079475140780051,85.5,237.21666666666667,66.47811442098595,0.0,30.598083333333335,3.545349000857149,3.954,22.782750000000004,3.861333333333333,0.0
S5,12,2.5,2.5366666666666666,2.4803333333333333,0.10289123412908437,20.0,2.0,0.3384456448906597,4.0,11.085916666666668,0.6928300930811161,0.0,7.166083333333333,3.9198333333333335,0.0
S6,12,9.849,10.271666666666667,11.229166666666666,0.15266947860318963,156.0,372.77500000000003,122.58893710282345,0.0,52.062000000000005,2.9759359719407454,3.266833333333333,43.913250000000005,4.881916666666666,0.0
S7,12,4.0,3.563333333333333,3.8280833333333333,0.16947161646682532,114.0,196.75833333333333,9.757743622685538,2.75,20.483666666666668,1.7940008783484886,3.749166666666667,12.855083333333333,3.8794166666666663,0.0
S8,12,2.236,1.93,2.4581666666666666,0.37813629897969414,153.4,256.19166666666666,149.74925380499067,2.25,15.696083333333334,1.7726619150733498,3.2585,7.700166666666667,4.737416666666666,0.0
S9,12,5.385000000000001,6.456666666666667,6.6645,0.06611628873707014,41.6,355.05833333333334,438.17937683998633,0.0,31.154,1.3832748362951137,0.96975,25.926333333333332,3.9829166666666667,0.27499999999999997
S10,12,4.0,3.9166666666666665,3.9844166666666667,0.08150678536542866,21.8,0.9500000000000001,0.5161042882631731,3.9166666666666665,17.637083333333333,1.2243273818218658,0.0,13.882583333333335,3.7545,0.0
