SegmentIndex,StraightLineDistance,ExecutedPathLength,HeadingProxyDeg,IntegratedAbsYawDeg,DistanceRatio,YawRatio
S1,9.957,9.679,0.0,402.0,0.9720799437581601,
S10,4.0,3.881,21.8,0.6,0.97025,0.027522935779816512
S2,4.7,4.554,92.9,113.7,0.968936170212766,1.223896663078579
S3,2.417,2.198,155.6,179.9,0.9093918080264791,1.1561696658097687
S4,5.852,5.833,85.5,367.8,0.9967532467532467,4.301754385964912
S5,2.5,2.463,20.0,1.6,0.9852000000000001,0.08
S6,9.849,11.064,156.0,435.9,1.1233627779469997,2.794230769230769
S7,4.0,3.761,114.0,183.3,0.94025,1.6078947368421053
S8,2.236,2.092,153.4,175.8,0.9355992844364937,1.1460234680573664
S9,5.385,6.72,41.6,849.1,1.2479108635097493,20.411057692307693
