SegmentIndex,n,StraightLineDistance,PlannedPathLengthM,ExecutedPathLength_mean,ExecutedPathLength_sd,HeadingProxyDeg,IntegratedAbsYawDeg_mean,IntegratedAbsYawDeg_sd,MinClearanceRadius,TotalSegmentTime_mean,TotalSegmentTime_sd,TimeRotating_mean,TimeTranslating_mean,TimeConverging_mean,TimeReplanning_mean
S1,1,9.957,0.4,9.679,,0.0,402.0,,0.0,38.925,,0.108,34.754,4.063,0.0
S2,1,4.7,0.4,4.554,,92.9,113.7,,3.0,20.801,,1.357,15.592,3.852,0.0
S3,1,2.417,0.34,2.198,,155.6,179.9,,0.0,14.027,,2.765,6.939,4.323,0.0
S4,1,5.852,0.34,5.833,,85.5,367.8,,0.0,27.594,,3.163,21.141,3.29,0.0
S5,1,2.5,0.3,2.463,,20.0,1.6,,4.0,10.206,,0.0,5.958,4.248,0.0
S6,1,9.849,0.4,11.064,,156.0,435.9,,0.0,48.656,,2.851,41.485,4.32,0.0
S7,1,4.0,0.4,3.761,,114.0,183.3,,3.0,19.009,,3.59,11.896,3.523,0.0
S8,1,2.236,0.34,2.092,,153.4,175.8,,0.0,13.63,,2.826,5.921,4.883,0.0
S9,1,5.385,0.34,6.72,,41.6,849.1,,0.0,29.823,,0.901,25.336,3.586,0.0
S10,1,4.0,0.4,3.881,,21.8,0.6,,4.0,14.666,,0.0,11.67,2.996,0.0
