SegmentIndex,StraightLineDistance,HeadingProxyDeg,TimeTranslating,TimeRotating,TimeConverging,TimeReplanning,ModelTranslation,ModelRotation,ModelFixedOverhead,MeasuredOverhead
S1,9.957,0.0,34.754,0.108,4.063,0.0,43.71526446977555,0.0,-1.970604504504875,4.063
S10,4.0,21.8,11.67,0.0,2.996,0.0,17.561620757166033,0.870884656485393,-1.970604504504875,2.996
S2,4.7,92.9,15.592,1.357,3.852,0.0,20.63490438967009,3.7112469994262853,-1.970604504504875,3.852
S3,2.417,155.6,6.939,2.765,4.323,0.0,10.611609342517575,6.216039107758126,-1.970604504504875,4.323
S4,5.852,85.5,21.141,3.163,3.29,0.0,25.692651167733906,3.415625602270693,-1.970604504504875,3.29
S5,2.5,20.0,5.958,0.0,4.248,0.0,10.97601297322877,0.7989767490691679,-1.970604504504875,4.248
S6,9.849,156.0,41.485,2.851,4.32,0.0,43.241100709332066,6.23201864273951,-1.970604504504875,4.32
S7,4.0,114.0,11.896,3.59,3.523,0.0,17.561620757166033,4.554167469694257,-1.970604504504875,3.523
S8,2.236,153.4,5.921,2.826,4.883,0.0,9.816946003255813,6.128151665360519,-1.970604504504875,4.883
S9,5.385,41.6,25.336,0.901,3.586,0.0,23.64233194433477,1.6618716380638694,-1.970604504504875,3.586
