SegmentIndex,StraightLineDistance,ExecutedPathLength,HeadingProxyDeg,IntegratedAbsYawDeg,DistanceRatio,YawRatio
S1,7.929538461538462,9.543076923076923,0.0,262.4384615384615,1.2034845368825424,
S10,5.0,7.216153846153846,129.1,476.6076923076923,1.443230769230769,3.6917714353810402
S2,4.0,3.8623846153846153,120.86923076923077,520.7923076923078,0.9655961538461538,4.308725259339401
S3,4.2,4.072923076923077,180.0,193.1076923076923,0.9697435897435898,1.0728205128205128
S4,2.417,2.5267692307692307,155.6,296.3769230769231,1.0454154864581013,1.9047360094917938
S5,2.693,2.8652307692307692,46.2,201.8,1.0639549830043702,4.367965367965368
S6,6.021,6.030076923076924,116.6,149.72307692307692,1.0015075441084411,1.2840744161498878
S7,4.031,8.932076923076924,78.1,207.94615384615386,2.215846421006431,2.662562789323353
S8,5.3149999999999995,5.891307692307692,131.7,321.45384615384614,1.1084304218829149,2.4408036913731674
S9,4.123,4.220230769230769,152.9,269.1769230769231,1.0235825295248044,1.760476933138804
