SegmentIndex,StraightLineDistance,ExecutedPathLength,HeadingProxyDeg,IntegratedAbsYawDeg,DistanceRatio,YawRatio
S1,9.7516,9.764199999999999,0.0,258.15,1.0012920956560973,
S10,4.0,4.001399999999999,21.8,42.089999999999996,1.0003499999999999,1.9307339449541283
S2,4.7,4.3149999999999995,92.35,177.28,0.9180851063829786,1.9196534921494317
S3,2.417,2.117,155.6,204.64000000000001,0.8758791890773687,1.3151670951156813
S4,5.852,5.860799999999999,85.5,320.83000000000004,1.0015037593984961,3.7523976608187137
S5,2.5,2.4227,20.0,57.92,0.9690799999999999,2.896
S6,9.849,10.5823,156.0,556.4100000000001,1.0744542593156665,3.56673076923077
S7,4.0,3.7298,114.0,180.75,0.93245,1.5855263157894737
S8,2.236,1.8993000000000002,153.4,203.45,0.8494186046511628,1.3262711864406778
S9,5.385,6.3907,41.6,287.36,1.1867595171773444,6.907692307692308
