Execution,Segment,StraightLineDistance_m,HeadingProxy_deg,ExecutedPathLength_m,IntegratedAbsYaw_deg,PlannedPathLength_m,MinClearanceRadius_cells,TimeRotating_s,TimeTranslating_s,TimeConverging_s,TimeReplanning_s,TotalSegmentTime_s
1,S1,9.955,0.0,9.688,255.9,10.16,0,0.316,36.411,4.574,0.0,41.301
1,S2,4.7,92.9,4.512,111.6,4.86,3,1.512,16.582,3.895,0.0,21.989
1,S3,2.417,155.6,2.077,178.9,2.3,0,2.964,6.136,4.992,0.0,14.092
1,S4,5.852,85.5,5.75,182.6,6.08,0,3.073,20.574,4.405,0.0,28.052
1,S5,2.5,20.0,2.499,1.7,2.74,4,0.0,6.898,3.994,0.0,10.892
1,S6,9.849,156.0,11.159,283.2,11.18,0,2.981,42.46,4.54,0.0,49.981
1,S7,4.0,114.0,3.898,202.0,3.88,3,3.805,12.875,3.865,0.0,20.545
1,S8,2.236,153.4,2.213,176.5,2.2,0,2.891,7.115,4.824,0.0,14.83
1,S9,5.385,41.6,6.666,112.4,7.04,0,0.542,27.09,2.98,0.0,30.612
1,S10,4.0,21.8,4.095,0.8,4.24,4,0.0,12.834,4.587,0.0,17.421
2,S1,9.819,0.0,10.035,698.1,10.1,0,4.21,39.597,3.649,0.0,47.456
2,S2,4.7,92.9,4.501,123.5,4.92,3,1.643,16.393,3.694,0.0,21.73
2,S3,2.417,155.6,2.45,181.6,2.3,3,2.767,6.916,5.468,0.0,15.151
2,S4,5.852,85.5,6.549,289.2,6.32,0,6.103,26.363,3.59,0.0,36.056
2,S5,2.5,20.0,2.6,2.2,2.74,4,0.0,8.172,3.64,0.0,11.812
2,S6,9.849,156.0,11.354,305.5,11.24,0,3.794,45.234,3.834,0.0,52.862
2,S7,4.0,114.0,3.908,205.4,3.88,3,3.898,13.054,3.806,0.0,20.758
2,S8,2.236,153.4,2.999,182.1,2.1,3,2.909,9.464,4.721,0.0,17.094
2,S9,5.385,41.6,6.755,110.2,7.04,0,0.542,26.462,4.977,0.0,31.981
2,S10,4.0,21.8,3.975,0.6,4.24,4,0.0,14.066,3.893,0.0,17.959
3,S1,9.781,0.0,9.984,341.0,10.0,0,3.762,41.053,4.31,0.0,49.125
3,S2,4.7,92.9,4.652,129.5,4.86,3,2.43,20.125,4.08,0.0,26.635
3,S3,2.417,155.6,2.588,907.0,2.3,0,3.039,9.228,5.842,0.0,18.109
3,S4,5.852,85.5,5.773,203.3,6.32,0,3.501,22.875,4.308,0.0,30.684
3,S5,2.5,20.0,2.374,2.1,2.64,4,0.0,8.008,3.958,0.0,11.966
3,S6,9.849,156.0,11.14,548.7,11.24,0,3.504,45.042,4.879,0.0,53.425
3,S7,4.0,114.0,3.957,204.2,3.88,3,3.9,13.947,4.094,0.0,21.941
3,S8,2.236,153.4,2.321,180.1,2.1,3,3.079,8.561,4.015,0.0,15.655
3,S9,5.385,41.6,6.599,254.6,6.94,0,1.955,24.194,3.813,3.3,33.262
3,S10,4.0,21.8,4.015,0.8,4.34,4,0.0,15.534,2.928,0.0,18.462
4,S1,9.708,0.0,9.92,333.3,10.0,0,4.234,38.42,2.842,0.0,45.496
4,S2,4.7,93.0,4.606,128.7,4.96,3,1.534,16.647,4.422,0.0,22.603
4,S3,2.417,155.6,2.553,205.9,2.4,3,3.528,9.878,3.587,0.0,16.993
4,S4,5.852,85.5,6.571,313.5,6.32,0,6.911,25.567,2.912,0.0,35.39
4,S5,2.5,20.0,2.579,2.3,2.84,4,0.0,6.849,4.285,0.0,11.134
4,S6,9.849,156.0,11.337,318.2,11.14,0,4.367,49.977,4.638,0.0,58.982
4,S7,4.0,114.0,4.006,206.5,3.88,3,4.093,16.043,4.665,0.0,24.801
4,S8,2.236,153.4,3.022,245.1,2.1,3,4.394,9.567,5.021,0.0,18.982
4,S9,5.385,41.6,6.674,110.5,6.94,0,0.813,26.012,4.279,0.0,31.104
4,S10,4.0,21.8,4.039,0.9,4.24,4,0.0,14.732,4.465,0.0,19.197
5,S1,9.955,0.0,9.652,508.8,10.16,0,0.191,35.403,3.933,0.0,39.527
5,S2,4.7,92.9,4.532,113.6,4.86,3,1.338,14.297,3.857,0.0,19.492
5,S3,2.417,155.6,2.16,177.2,2.3,0,3.097,6.213,4.597,0.0,13.907
5,S4,5.852,85.5,5.776,181.5,6.08,0,2.863,20.804,4.439,0.0,28.106
5,S5,2.5,20.0,2.442,1.6,2.74,4,0.0,7.67,3.222,0.0,10.892
5,S6,9.849,156.0,11.061,279.6,11.08,0,3.077,43.603,4.424,0.0,51.104
5,S7,4.0,114.0,3.715,205.0,3.78,0,3.805,12.016,3.979,0.0,19.8
5,S8,2.236,153.4,2.124,174.7,2.0,3,2.905,6.333,5.13,0.0,14.368
5,S9,5.385,41.6,6.68,1558.1,7.04,0,1.243,26.223,4.243,0.0,31.709
5,S10,4.0,21.8,4.035,0.8,4.24,4,0.0,14.375,3.41,0.0,17.785
6,S1,9.788,0.0,9.918,222.9,9.96,0,3.924,40.861,3.121,0.0,47.906
6,S2,4.7,92.9,4.567,121.9,4.86,3,1.76,14.718,4.284,0.0,20.762
6,S3,2.417,155.6,2.512,181.9,2.3,3,2.684,7.705,4.624,0.0,15.013
6,S4,5.852,85.5,6.017,214.5,6.32,0,3.251,22.042,3.312,0.0,28.605
6,S5,2.5,20.0,2.62,2.3,2.84,4,0.0,7.734,4.469,0.0,12.203
6,S6,9.849,156.0,11.461,281.8,11.24,0,3.015,44.899,5.372,0.0,53.286
6,S7,4.0,114.0,3.975,205.1,3.98,3,3.812,14.145,3.682,0.0,21.639
6,S8,2.236,153.4,2.257,177.7,2.1,3,2.708,7.172,5.028,0.0,14.908
6,S9,5.385,41.6,6.625,291.4,7.04,0,0.811,26.714,4.958,0.0,32.483
6,S10,4.0,21.8,3.905,0.7,4.14,4,0.0,14.232,4.072,0.0,18.304
7,S1,9.741,0.0,9.942,445.8,10.0,0,3.877,37.497,4.721,0.0,46.095
7,S2,4.7,92.9,4.725,132.1,4.82,3,2.011,17.224,4.007,0.0,23.242
7,S3,2.417,155.6,2.445,216.6,2.3,0,3.956,8.228,5.047,0.0,17.231
7,S4,5.852,85.5,5.721,188.7,6.08,0,3.076,22.233,3.873,0.0,29.182
7,S5,2.5,20.0,2.521,2.0,2.84,4,0.0,7.945,2.678,0.0,10.623
7,S6,9.849,156.0,11.403,526.0,11.14,0,3.071,46.491,5.698,0.0,55.26
7,S7,4.0,114.0,4.055,203.6,3.98,3,3.952,13.076,4.131,0.0,21.159
7,S8,2.236,153.4,2.324,538.1,2.1,3,3.03,8.025,4.508,0.0,15.563
7,S9,5.385,41.6,6.797,127.9,7.04,0,0.806,27.783,4.055,0.0,32.644
7,S10,4.0,21.8,3.843,2.5,4.1,4,0.0,13.707,2.882,0.0,16.589
8,S1,9.958,0.0,9.654,47.4,10.16,0,0.0,36.73,4.075,0.0,40.805
8,S2,4.7,92.9,4.536,114.4,4.86,3,1.378,14.947,3.337,0.0,19.662
8,S3,2.417,155.6,2.209,537.3,2.3,3,2.913,6.607,4.378,0.0,13.898
8,S4,5.852,85.5,5.709,179.0,6.08,0,2.518,20.801,4.072,0.0,27.391
8,S5,2.5,20.0,2.439,1.5,2.74,4,0.0,6.846,3.805,0.0,10.651
8,S6,9.849,156.0,11.107,285.1,11.08,0,2.656,42.465,4.466,0.0,49.587
8,S7,4.0,114.0,3.494,185.0,3.7,3,3.611,11.001,3.532,0.0,18.144
8,S8,2.236,153.4,2.13,176.5,2.1,3,2.741,6.276,4.784,0.0,13.801
8,S9,5.385,41.6,6.659,112.4,7.04,0,0.66,25.739,3.984,0.0,30.383
8,S10,4.0,21.8,3.949,0.8,4.24,4,0.0,13.727,3.311,0.0,17.038
9,S1,9.671,0.0,9.817,518.9,9.9,0,3.724,37.18,2.795,0.0,43.699
9,S2,4.7,93.0,4.539,114.1,4.96,3,1.318,15.8,3.517,0.0,20.635
9,S3,2.417,155.6,2.459,183.2,2.3,3,2.969,7.529,5.181,0.0,15.679
9,S4,5.852,85.5,6.026,220.5,6.32,0,3.461,24.367,3.538,0.0,31.366
9,S5,2.5,20.0,2.574,2.0,2.74,4,0.0,7.102,4.561,0.0,11.663
9,S6,9.849,156.0,11.357,609.2,11.24,0,2.961,43.137,5.491,0.0,51.589
9,S7,4.0,114.0,3.799,185.8,3.8,3,3.446,12.85,3.417,0.0,19.713
9,S8,2.236,153.4,2.839,598.9,1.96,3,4.238,8.315,4.852,0.0,17.405
9,S9,5.385,41.6,6.605,111.3,6.94,0,0.819,25.029,4.441,0.0,30.289
9,S10,4.0,21.8,3.983,0.7,4.14,4,0.0,13.192,3.945,0.0,17.137
10,S1,9.803,0.0,10.069,219.7,10.0,0,3.608,37.864,3.994,0.0,45.466
10,S2,4.7,92.9,4.611,112.3,4.92,3,1.566,15.792,3.565,0.0,20.923
