Execution,Segment,StraightLineDistance_m,HeadingProxy_deg,ExecutedPathLength_m,IntegratedAbsYaw_deg,PlannedPathLength_m,MinClearanceRadius_cells,TimeRotating_s,TimeTranslating_s,TimeConverging_s,TimeReplanning_s,TotalSegmentTime_s
1,S1,10.719,0.0,12.671,704.8,11.64,0,1.411,45.878,3.633,0.0,50.922
1,S2,4.0,111.9,3.61,1469.6,3.64,3,4.034,11.217,3.545,0.0,18.796
1,S3,4.2,180.0,3.66,189.6,4.0,3,3.607,11.207,3.28,0.0,18.094
1,S4,2.417,155.6,2.275,181.1,2.3,0,2.527,6.817,4.203,0.0,13.547
1,S5,2.693,46.2,2.856,80.2,3.24,0,0.611,8.047,4.184,0.0,12.842
1,S6,6.021,116.6,5.782,115.2,6.08,3,1.967,19.129,3.841,0.0,24.937
1,S7,4.031,78.1,8.964,203.1,9.16,0,0.997,31.349,4.968,0.0,37.314
1,S8,5.315,131.7,5.528,261.3,5.76,0,3.225,19.107,4.383,0.0,26.715
1,S9,4.123,152.9,4.068,252.0,4.24,0,3.288,12.591,4.948,0.0,20.827
1,S10,5.0,129.1,7.34,790.9,7.2,3,5.949,27.891,2.984,0.162,36.986
2,S1,7.437,0.0,8.997,172.6,9.4,0,0.605,31.61,3.31,0.0,35.525
2,S2,4.0,122.4,3.754,192.2,3.74,3,3.47,11.504,4.449,0.0,19.423
2,S3,4.2,180.0,3.853,191.2,4.1,3,3.72,11.39,3.308,0.0,18.418
2,S4,2.417,155.6,2.522,184.0,2.3,0,2.688,7.007,5.118,0.0,14.813
2,S5,2.693,46.2,2.798,80.9,3.14,0,0.549,7.887,4.592,0.0,13.028
2,S6,6.021,116.6,5.855,127.9,6.12,3,1.997,19.471,3.322,0.0,24.79
2,S7,4.031,78.1,8.992,207.6,9.36,3,1.065,32.13,4.473,0.0,37.668
2,S8,5.315,131.7,5.555,246.4,5.76,0,2.813,18.86,4.638,0.0,26.311
2,S9,4.123,152.9,4.239,252.5,4.24,0,3.384,12.717,5.173,0.0,21.274
2,S10,5.0,129.1,7.445,332.3,7.3,0,4.294,25.624,4.408,0.109,34.435
3,S1,7.363,0.0,8.933,411.0,9.3,3,1.141,30.731,3.577,0.0,35.449
3,S2,4.0,122.8,3.839,556.7,3.74,3,3.687,12.589,2.426,0.0,18.702
3,S3,4.2,180.0,4.121,192.3,3.94,3,3.575,12.473,3.676,0.0,19.724
3,S4,2.417,155.6,2.567,183.4,2.4,3,2.604,7.78,4.565,0.0,14.949
3,S5,2.693,46.2,2.852,85.5,3.14,0,0.432,8.53,4.354,0.0,13.316
3,S6,6.021,116.6,6.064,144.9,6.12,3,2.192,20.267,3.568,0.0,26.027
3,S7,4.031,78.1,9.007,205.1,9.36,3,1.228,31.803,4.868,0.0,37.899
3,S8,5.315,131.7,5.759,303.5,5.76,0,4.067,20.864,5.1,0.0,30.031
3,S9,4.123,152.9,3.886,243.2,4.34,0,3.214,12.404,4.693,0.0,20.311
3,S10,5.0,129.1,7.365,335.4,7.2,0,4.308,26.91,3.665,0.111,34.994
4,S1,10.72,0.0,12.699,394.7,11.64,3,1.311,45.577,3.677,0.0,50.565
4,S2,4.0,111.9,3.615,924.3,3.64,3,4.566,11.23,3.34,0.0,19.136
4,S3,4.2,180.0,3.787,189.3,4.04,3,3.539,11.29,3.32,0.0,18.149
4,S4,2.417,155.6,2.167,180.2,2.16,0,2.523,5.711,4.597,0.0,12.831
4,S5,2.693,46.2,2.886,445.9,3.24,0,0.765,8.732,3.87,0.0,13.367
4,S6,6.021,116.6,5.94,127.8,6.12,3,2.046,19.041,3.976,0.0,25.063
4,S7,4.031,78.1,8.811,195.7,9.16,3,1.005,30.512,4.369,0.0,35.886
4,S8,5.315,131.7,5.513,249.2,5.6,0,2.73,19.132,4.306,0.0,26.168
4,S9,4.123,152.9,3.95,246.6,4.24,0,3.615,12.02,4.264,0.0,19.899
4,S10,5.0,129.1,7.305,334.1,7.1,3,3.943,25.788,3.915,0.064,33.71
5,S1,7.476,0.0,9.13,240.8,9.5,3,0.795,32.848,2.982,0.0,36.625
5,S2,4.0,122.2,3.863,570.9,3.74,3,3.633,11.796,4.165,0.0,19.594
5,S3,4.2,180.0,4.114,192.9,4.08,3,3.521,12.021,2.991,0.0,18.533
5,S4,2.417,155.6,2.566,188.7,2.4,0,2.703,6.486,4.956,0.0,14.145
5,S5,2.693,46.2,2.864,468.3,3.14,0,1.094,7.648,4.634,0.0,13.376
5,S6,6.021,116.6,6.054,147.1,6.12,3,2.235,19.303,4.07,0.0,25.608
5,S7,4.031,78.1,8.934,203.9,9.36,3,0.708,31.205,4.374,0.0,36.287
5,S8,5.315,131.7,5.775,263.9,5.66,0,2.854,21.599,2.249,0.0,26.702
5,S9,4.123,152.9,4.058,252.8,4.14,0,3.306,12.609,4.581,0.0,20.496
5,S10,5.0,129.1,6.977,1084.7,7.2,3,5.927,24.506,4.383,0.032,34.848
6,S1,7.397,0.0,8.991,171.2,9.44,3,0.474,32.538,3.394,0.0,36.406
6,S2,4.0,122.8,3.964,1095.8,3.74,3,3.652,12.538,3.497,0.0,19.687
6,S3,4.2,180.0,4.057,192.9,4.08,3,3.621,12.56,3.284,0.0,19.465
6,S4,2.417,155.6,2.451,187.0,2.2,0,2.638,6.972,5.169,0.0,14.779
6,S5,2.693,46.2,2.838,83.2,3.14,0,0.64,7.139,4.949,0.0,12.728
6,S6,6.021,116.6,6.066,219.4,6.12,3,4.394,19.711,3.279,0.0,27.384
6,S7,4.031,78.1,8.971,200.3,9.36,3,0.831,31.227,4.377,0.0,36.435
6,S8,5.315,131.7,5.744,258.5,5.66,0,2.612,21.019,5.053,0.0,28.684
6,S9,4.123,152.9,3.961,250.9,4.34,0,3.314,12.604,4.989,0.0,20.907
6,S10,5.0,129.1,7.381,332.8,7.3,0,3.88,27.371,3.633,0.065,34.949
7,S1,7.378,0.0,8.865,178.8,9.4,3,0.738,31.76,4.863,0.0,37.361
7,S2,4.0,122.7,3.683,205.6,3.84,3,4.017,10.358,3.568,0.0,17.943
7,S3,4.2,180.0,4.163,198.1,4.08,3,3.446,12.739,3.937,0.0,20.122
7,S4,2.417,155.6,2.531,189.4,2.26,3,2.689,7.468,4.801,0.0,14.958
7,S5,2.693,46.2,2.831,86.9,3.14,0,0.596,8.582,4.488,0.0,13.666
7,S6,6.021,116.6,6.017,147.5,6.12,3,2.241,20.446,3.669,0.0,26.356
7,S7,4.031,78.1,8.997,200.9,9.46,3,0.976,30.906,4.462,0.0,36.344
7,S8,5.315,131.7,5.932,614.3,5.66,0,3.172,21.328,5.023,0.0,29.523
7,S9,4.123,152.9,4.359,260.3,4.34,3,3.416,14.294,5.147,0.0,22.857
7,S10,5.0,129.1,7.12,335.0,7.3,0,4.002,25.906,3.678,0.033,33.619
8,S1,7.372,0.0,8.87,180.5,9.3,3,1.319,30.194,4.923,0.0,36.436
8,S2,4.0,122.8,4.13,209.5,3.84,0,3.374,13.151,3.963,0.0,20.488
8,S3,4.2,180.0,4.247,192.9,4.18,3,3.599,12.849,3.863,0.0,20.311
8,S4,2.417,155.6,2.513,899.4,2.26,0,2.877,7.683,4.319,0.0,14.879
8,S5,2.693,46.2,2.828,446.0,3.24,0,0.767,8.675,5.038,0.0,14.48
8,S6,6.021,116.6,5.933,139.3,6.16,3,2.187,19.108,3.83,0.0,25.125
8,S7,4.031,78.1,8.923,199.7,9.26,3,1.241,31.358,4.265,0.0,36.864
8,S8,5.315,131.7,6.074,270.1,5.66,0,2.679,21.175,3.986,0.0,27.84
8,S9,4.123,152.9,4.275,301.1,4.24,3,3.494,15.532,4.893,0.0,23.919
8,S10,5.0,129.1,6.904,332.3,7.2,3,4.187,24.69,3.98,0.032,32.889
9,S1,7.46,0.0,9.08,183.1,9.4,3,1.17,31.665,3.897,0.0,36.732
9,S2,4.0,122.3,3.999,560.3,3.74,0,3.537,13.274,2.776,0.0,19.587
9,S3,4.2,180.0,4.106,192.2,4.08,3,3.626,11.078,4.027,0.0,18.731
9,S4,2.417,155.6,2.502,900.7,2.26,0,2.97,7.601,4.304,0.0,14.875
9,S5,2.693,46.2,2.965,450.9,3.24,0,0.944,8.206,4.861,0.0,14.011
9,S6,6.021,116.6,6.154,155.2,6.16,3,2.279,19.573,3.985,0.0,25.837
9,S7,4.031,78.1,9.021,214.5,9.36,3,0.837,31.097,4.84,0.0,36.774
9,S8,5.315,131.7,6.058,629.9,5.86,0,2.894,21.818,4.538,0.0,29.25
9,S9,4.123,152.9,4.336,296.6,4.24,0,4.889,14.904,4.869,0.0,24.662
9,S10,5.0,129.1,7.54,749.8,7.3,3,4.868,28.948,2.724,0.103,36.643
10,S1,7.438,0.0,8.948,193.8,9.4,3,0.942,32.212,5.192,0.021,38.367
10,S2,4.0,122.4,3.612,194.6,3.94,3,3.498,10.826,4.336,0.0,18.66
10,S3,4.2,180.0,3.854,194.5,4.18,3,3.626,11.528,2.844,0.005,18.003
10,S4,2.417,155.6,2.65,190.7,2.26,3,2.695,7.611,5.005,0.002,15.313
10,S5,2.693,46.2,2.782,86.6,3.14,0,0.639,7.831,4.466,0.0,12.936
10,S6,6.021,116.6,6.172,155.7,6.12,3,2.183,21.272,2.859,0.01,26.324
10,S7,4.031,78.1,8.821,203.0,9.36,3,1.036,31.118,4.157,0.019,36.33
10,S8,5.315,131.7,6.009,266.1,5.66,0,2.597,21.256,4.666,0.013,28.532
10,S9,4.123,152.9,4.417,252.2,4.24,0,3.283,14.154,5.145,0.004,22.586
10,S10,5.0,129.1,7.574,341.0,7.3,3,3.981,28.068,2.816,0.078,34.943
