Execution,Segment,StraightLineDistance_m,HeadingProxy_deg,ExecutedPathLength_m,IntegratedAbsYaw_deg,PlannedPathLength_m,MinClearanceRadius_cells,TimeRotating_s,TimeTranslating_s,TimeConverging_s,TimeReplanning_s,TotalSegmentTime_s
1,S1,9.956,0.0,9.656,276.5,10.16,0,0.0,32.649,3.618,0.0,36.267
1,S2,4.7,92.9,4.582,2001.8,4.86,3,0.0,14.456,3.922,0.0,18.378
1,S3,2.417,155.6,1.888,46.6,2.2,3,0.0,4.365,3.725,0.0,8.09
1,S4,5.852,85.5,5.913,278.9,6.18,0,0.0,19.015,3.973,0.0,22.988
1,S5,2.5,20.0,2.453,122.0,2.74,4,0.0,6.135,3.933,0.0,10.068
1,S6,9.849,156.0,10.462,481.5,11.08,0,0.0,35.929,4.275,0.0,40.204
1,S7,4.0,114.0,3.492,35.0,3.74,3,0.0,10.837,4.739,0.0,15.576
1,S8,2.236,153.4,1.971,102.0,2.06,3,0.0,5.089,3.905,0.0,8.994
1,S9,5.385,41.6,6.545,348.6,7.0,0,0.0,25.165,4.23,0.0,29.395
1,S10,4.0,21.8,3.926,196.5,4.2,4,0.0,13.13,4.257,0.0,17.387
2,S1,9.683,0.0,9.584,208.9,9.9,0,0.0,35.344,5.087,0.0,40.431
2,S2,4.7,93.0,4.554,1655.5,4.82,3,0.0,15.525,4.818,0.0,20.343
2,S3,2.417,155.6,1.971,66.8,2.26,3,0.0,5.254,4.046,0.0,9.3
2,S4,5.852,85.5,5.889,302.3,6.18,0,0.0,20.643,4.788,0.0,25.431
2,S5,2.5,20.0,2.453,117.2,2.7,4,0.0,6.894,4.375,0.0,11.269
2,S6,9.849,156.0,10.669,510.2,11.18,0,0.0,38.971,4.917,0.0,43.888
2,S7,4.0,114.0,3.64,21.1,3.94,3,0.0,10.186,4.304,0.0,14.49
2,S8,2.236,153.4,2.229,110.6,2.06,3,0.0,5.959,3.597,0.0,9.556
2,S9,5.385,41.6,6.469,336.0,7.0,0,0.0,21.287,4.05,0.0,25.337
2,S10,4.0,21.8,4.125,206.3,4.34,4,0.0,12.375,4.895,0.0,17.27
3,S1,9.958,0.0,9.661,279.5,10.16,0,0.0,36.206,4.25,0.0,40.456
3,S2,4.7,92.9,4.659,3788.0,4.96,3,0.0,16.301,4.385,0.0,20.686
3,S3,2.417,155.6,1.901,61.3,2.16,3,0.0,4.917,4.054,0.0,8.971
3,S4,5.852,85.5,5.803,278.6,6.18,0,0.0,20.648,3.972,0.0,24.62
3,S5,2.5,20.0,2.487,116.8,2.8,4,0.0,7.217,4.046,0.0,11.263
3,S6,9.849,156.0,10.496,494.7,11.08,0,0.0,38.642,4.325,0.0,42.967
3,S7,4.0,114.0,3.486,68.7,3.74,3,0.0,10.598,4.57,0.0,15.168
3,S8,2.236,153.4,1.774,79.6,2.06,3,0.0,4.364,3.942,0.0,8.306
3,S9,5.385,41.6,6.468,325.4,7.0,0,0.0,22.97,4.41,0.0,27.38
