Execution,Segment,StraightLineDistance_m,HeadingProxy_deg,ExecutedPathLength_m,IntegratedAbsYaw_deg,PlannedPathLength_m,MinClearanceRadius_cells,TimeRotating_s,TimeTranslating_s,TimeConverging_s,TimeReplanning_s,TotalSegmentTime_s
1,S1,9.959,0.0,9.689,197.6,10.16,0,0.197,35.711,3.952,0.0,39.86
1,S2,4.7,92.9,4.361,130.7,4.72,3,2.213,14.743,4.991,0.0,21.947
1,S3,2.417,155.6,1.901,201.3,2.22,3,4.046,6.004,4.667,0.0,14.717
1,S4,5.852,85.5,5.835,328.7,6.28,0,5.97,23.376,6.244,0.0,35.59
1,S5,2.5,20.0,2.367,66.9,2.72,4,0.642,6.494,4.142,0.0,11.278
1,S6,9.849,156.0,10.484,423.0,11.0,0,5.312,35.256,3.698,3.853,48.119
1,S7,4.0,114.0,3.553,163.2,4.02,3,3.069,10.187,3.771,0.0,17.027
1,S8,2.236,153.4,1.684,187.3,2.02,3,3.714,3.879,3.822,0.0,11.415
1,S9,5.385,41.6,6.442,125.3,7.0,0,1.306,22.989,3.783,0.0,28.078
1,S10,4.0,21.8,3.943,39.9,4.14,0,0.0,12.716,4.504,0.0,17.22
2,S1,9.745,0.0,9.599,205.5,9.92,0,3.744,32.699,3.468,0.0,39.911
2,S2,4.7,92.2,4.511,160.2,4.72,3,2.202,14.088,4.19,0.0,20.48
2,S3,2.417,155.6,1.837,217.1,2.22,3,3.96,5.989,3.633,0.0,13.582
2,S4,5.852,85.5,5.702,337.3,6.38,0,4.893,20.478,4.404,0.0,29.775
2,S5,2.5,20.0,2.43,58.4,2.72,4,0.45,7.229,3.956,0.0,11.635
2,S6,9.849,156.0,10.331,418.0,11.1,0,5.371,34.752,4.077,3.645,47.845
2,S7,4.0,114.0,3.584,160.6,4.02,3,3.058,11.027,2.549,0.0,16.634
2,S8,2.236,153.4,2.02,186.9,2.06,3,3.666,5.711,3.723,0.0,13.1
2,S9,5.385,41.6,6.518,141.1,7.0,0,1.479,23.247,3.683,0.046,28.455
2,S10,4.0,21.8,3.969,37.5,4.24,0,0.0,12.83,5.222,0.0,18.052
3,S1,9.683,0.0,9.631,442.8,10.06,0,3.792,33.35,3.147,0.0,40.289
3,S2,4.7,92.4,4.263,129.8,4.72,3,2.079,12.876,4.044,0.0,18.999
3,S3,2.417,155.6,1.983,203.6,2.22,3,3.83,4.866,5.047,0.0,13.743
3,S4,5.852,85.5,6.061,398.7,6.38,0,7.367,21.497,4.8,0.043,33.707
3,S5,2.5,20.0,2.448,32.7,2.74,4,0.267,6.842,5.078,0.0,12.187
3,S6,9.849,156.0,10.535,949.1,11.14,0,10.027,40.438,2.677,3.224,56.366
3,S7,4.0,114.0,3.819,199.1,3.88,3,3.721,13.163,4.808,0.0,21.692
3,S8,2.236,153.4,1.69,197.9,2.02,3,3.945,4.804,5.911,0.0,14.66
3,S9,5.385,41.6,6.184,480.4,6.8,0,3.664,24.282,3.98,0.0,31.926
3,S10,4.0,21.8,4.092,40.5,4.3,0,0.0,14.173,5.256,0.0,19.429
4,S1,9.769,0.0,9.919,213.5,9.92,0,4.217,37.514,4.418,0.0,46.149
4,S2,4.7,92.3,4.234,137.0,4.62,3,2.516,14.586,3.319,0.0,20.421
4,S3,2.417,155.6,1.909,220.9,2.22,3,4.382,6.238,3.58,0.0,14.2
4,S4,5.852,85.5,5.981,247.8,6.28,0,3.645,22.965,2.888,0.0,29.498
4,S5,2.5,20.0,2.456,61.4,2.68,4,0.75,6.626,4.188,0.0,11.564
4,S6,9.849,156.0,10.697,438.6,11.1,0,6.562,39.957,3.139,5.443,55.101
4,S7,4.0,114.0,3.544,183.3,3.92,3,3.28,11.417,3.98,0.0,18.677
